frame:1 action['wsj', 'xsj'] state:[0, 0]
frame:3 action['e', 'w'] state:[0, 0]
frame:5 action['as', 'z'] state:[0, 0]
frame:7 action['ej', 'xsj'] state:[0, 0]
frame:9 action['as', 'e'] state:[0, 0]
frame:11 action['e', 'a'] state:[0, 0]
frame:13 action['asj', 'zsj'] state:[0, 0]
frame:15 action['e', 'w'] state:[0, 0]
frame:17 action['as', 'z'] state:[0, 0]
frame:19 action['ej', 'xsj'] state:[0, 0]
frame:21 action['as', 'd'] state:[0, 0]
frame:23 action['e', 'w'] state:[0, 0]
frame:25 action['asj', 'asj'] state:[0, 0]
frame:27 action['e', 'd'] state:[0, 0]
frame:29 action['as', 'w'] state:[0, 0]
frame:31 action['wj', 'asj'] state:[0, 0]
frame:33 action['zs', 'd'] state:[0, 0]
frame:35 action['w', 'w'] state:[0, 0]
frame:37 action['zsj', 'asj'] state:[0, 0]
frame:39 action['w', 'd'] state:[0, 0]
frame:41 action['zs', 'w'] state:[0, 0]
frame:43 action['wj', 'asj'] state:[0, 0]
frame:45 action['zs', 'd'] state:[0, 0]
frame:47 action['w', 'w'] state:[0, 0]
frame:49 action['zsj', 'asj'] state:[0, 0]
frame:51 action['ak', 'ek'] state:[2, 2]
frame:53 action['zs', 'w'] state:[0, 0]
frame:55 action['wj', 'asj'] state:[0, 0]
frame:57 action['xs', 'e'] state:[2, 2]
frame:59 action['a', 'a'] state:[2, 2]
frame:61 action['wsj', 'zsj'] state:[0, 0]
frame:63 action['a', 'e'] state:[2, 2]
frame:65 action['zs', 'a'] state:[0, 0]
frame:67 action['aj', 'zsj'] state:[2, 2]
frame:69 action['xs', 'e'] state:[2, 2]
frame:71 action['a', 'a'] state:[2, 2]
frame:73 action['asj', 'zsj'] state:[0, 0]
frame:75 action['w', 'e'] state:[2, 2]
frame:77 action['zs', 'a'] state:[0, 0]
frame:79 action['wj', 'zsj'] state:[2, 0]
frame:81 action['zs', 'e'] state:[0, 0]
frame:83 action['wk', 'a'] state:[2, 0]
frame:85 action['dsj', 'zsj'] state:[1, 0]
frame:87 action['z', 'e'] state:[1, 0]
frame:89 action['zsk', 'a'] state:[2, 0]
frame:91 action['ek', 'ask'] state:[2, 2]
frame:93 action['asj', 'dj'] state:[2, 2]
frame:95 action['z', 'w'] state:[1, 2]
frame:97 action['ds', 'as'] state:[1, 2]
frame:99 action['ej', 'dj'] state:[2, 2]
frame:101 action['ds', 'x'] state:[1, 0]
frame:103 action['z', 'ds'] state:[1, 0]
frame:105 action['asj', 'dj'] state:[2, 2]
frame:107 action['z', 'w'] state:[1, 2]
frame:109 action['ds', 'as'] state:[1, 2]
frame:111 action['ej', 'dj'] state:[2, 2]
frame:113 action['ds', 'x'] state:[1, 0]
frame:115 action['', 'ds'] state:[1, 1]
frame:117 action['', 'aj'] state:[1, 1]
frame:119 action['', 'w'] state:[2, 2]
frame:121 action['', 'as'] state:[2, 2]
frame:123 action['', 'dk'] state:[2, 2]
frame:125 action['', 'wj'] state:[2, 2]
frame:127 action['', 'as'] state:[2, 2]
frame:129 action['', 'x'] state:[2, 1]
frame:131 action['', 'ej'] state:[2, 1]
frame:133 action['', 'ws'] state:[2, 1]
frame:135 action['', 'a'] state:[1, 1]
frame:137 action['', 'xj'] state:[1, 1]
frame:139 action['', 'ds'] state:[1, 1]
frame:141 action['', 'a'] state:[1, 1]
frame:143 action['', 'xj'] state:[1, 1]
frame:145 action['', 'ds'] state:[1, 1]
frame:147 action['', 'a'] state:[1, 1]
frame:149 action['', 'xj'] state:[1, 1]
frame:151 action['', 'ds'] state:[1, 1]
frame:153 action['', 'a'] state:[1, 1]
frame:155 action['', 'xj'] state:[1, 1]
frame:157 action['', 'ds'] state:[1, 1]
frame:159 action['', 'a'] state:[1, 1]
frame:161 action['', 'wk'] state:[2, 2]
frame:163 action['', 'asj'] state:[2, 2]
frame:165 action['', 'd'] state:[2, 2]
frame:167 action['', 'w'] state:[2, 2]
frame:168 action['', 'as'] state:[2, 2]
frame:168 action['', 'as'] state:[2, 2]
frame:168 action['', 'as'] state:[2, 2]
frame:195 action['asj', ''] state:[1, 2]
frame:197 action['ej', ''] state:[1, 2]
frame:199 action['asj', ''] state:[1, 2]
frame:201 action['ej', ''] state:[1, 2]
frame:203 action['asj', ''] state:[1, 2]
frame:205 action['ej', ''] state:[1, 2]
frame:207 action['asj', ''] state:[1, 2]
frame:209 action['ej', ''] state:[1, 2]
frame:211 action['asj', ''] state:[1, 2]
frame:213 action['dj', ''] state:[1, 2]
frame:215 action['wsj', ''] state:[1, 2]
frame:217 action['aj', ''] state:[1, 1]
frame:219 action['zsj', ''] state:[1, 2]
frame:221 action['aj', ''] state:[1, 2]
frame:223 action['zsj', ''] state:[1, 2]
frame:225 action['ak', ''] state:[2, 2]
frame:227 action['zsk', ''] state:[2, 2]
frame:229 action['ak', ''] state:[2, 2]
frame:231 action['zsk', ''] state:[2, 2]
frame:233 action['ak', ''] state:[2, 2]
frame:235 action['zsk', ''] state:[2, 2]
frame:237 action['wk', ''] state:[2, 2]
frame:239 action['asj', ''] state:[1, 1]
frame:241 action['ak', ''] state:[2, 2]
frame:243 action['zsk', ''] state:[2, 2]
frame:245 action['ej', ''] state:[1, 2]
frame:247 action['wsk', ''] state:[2, 2]
frame:249 action['aj', 'xsj'] state:[0, 0]
frame:251 action['ds', 'e'] state:[1, 1]
frame:253 action['wk', 'a'] state:[2, 1]
frame:255 action['ask', 'zsj'] state:[2, 1]
frame:257 action['x', 'e'] state:[1, 1]
frame:259 action['esk', 'a'] state:[2, 1]
frame:261 action['xj', 'zsj'] state:[1, 1]
frame:263 action['zs', 'a'] state:[0, 0]
frame:265 action['ak', 'xs'] state:[2, 0]
frame:267 action['esk', 'ej'] state:[2, 0]
frame:269 action['a', 'as'] state:[0, 0]
frame:271 action['zs', 'e'] state:[0, 0]
frame:273 action['ak', 'asj'] state:[2, 0]
frame:275 action['zs', 'e'] state:[0, 0]
frame:277 action['ak', 'as'] state:[2, 0]
frame:279 action['esj', 'ej'] state:[1, 0]
frame:281 action['dk', 'as'] state:[2, 0]
frame:283 action['esk', 'ek'] state:[2, 2]
frame:285 action['', 'asj'] state:[1, 0]
frame:287 action['', 'e'] state:[1, 2]
frame:289 action['', 'as'] state:[1, 1]
frame:291 action['', 'ej'] state:[1, 2]
frame:293 action['', 'as'] state:[1, 1]
frame:295 action['', 'w'] state:[2, 2]
frame:297 action['', 'wsj'] state:[2, 2]
frame:299 action['', 'e'] state:[2, 2]
frame:301 action['', 'as'] state:[2, 2]
frame:303 action['', 'wj'] state:[2, 2]
frame:305 action['', 'zs'] state:[1, 1]
frame:307 action['', 'w'] state:[2, 2]
frame:309 action['', 'asj'] state:[1, 1]
frame:311 action['', 'w'] state:[2, 2]
frame:313 action['', 'es'] state:[1, 1]
frame:315 action['', 'xj'] state:[1, 1]
frame:317 action['', 'zsk'] state:[2, 2]
frame:319 action['', 'w'] state:[2, 2]
frame:321 action['', 'zsj'] state:[2, 2]
frame:323 action['', 'w'] state:[2, 2]
frame:325 action['', 'es'] state:[2, 1]
frame:327 action['', 'wj'] state:[2, 2]
frame:329 action['', 'zs'] state:[2, 2]
frame:331 action['', 'x'] state:[2, 1]
frame:333 action['', 'esj'] state:[2, 1]
frame:335 action['', 'w'] state:[2, 2]
frame:337 action['', 'es'] state:[2, 1]
frame:339 action['', 'xj'] state:[1, 1]
frame:341 action['', 'zs'] state:[2, 2]
frame:343 action['', 'x'] state:[2, 1]
frame:345 action['', 'esj'] state:[2, 1]
frame:347 action['', 'x'] state:[1, 1]
frame:348 action['', 'd'] state:[1, 1]
frame:363 action['', 'dj'] state:[1, 1]
frame:365 action['zsj', ''] state:[1, 1]
frame:367 action['ej', ''] state:[1, 1]
frame:369 action['asj', ''] state:[1, 1]
frame:371 action['wj', ''] state:[1, 1]
frame:373 action['asj', ''] state:[1, 1]
frame:375 action['wj', ''] state:[1, 1]
frame:377 action['asj', ''] state:[1, 1]
frame:379 action['wk', ''] state:[2, 2]
frame:381 action['ask', ''] state:[2, 2]
frame:383 action['wk', ''] state:[2, 2]
frame:385 action['ask', ''] state:[2, 2]
frame:387 action['wk', ''] state:[2, 2]
frame:389 action['ask', ''] state:[2, 2]
frame:391 action['wk', ''] state:[2, 2]
frame:393 action['ask', ''] state:[2, 2]
frame:395 action['xj', ''] state:[1, 2]
frame:397 action['dsk', ''] state:[2, 2]
frame:399 action['xj', ''] state:[1, 2]
frame:401 action['dsj', ''] state:[1, 2]
frame:403 action['xj', ''] state:[1, 2]
frame:405 action['dsj', ''] state:[1, 2]
frame:407 action['xj', ''] state:[1, 2]
frame:408 action['dsj', ''] state:[1, 2]
frame:408 action['dsj', ''] state:[1, 2]
frame:429 action['', 'xsj'] state:[1, 0]
frame:431 action['', 'w'] state:[1, 0]
frame:433 action['', 'wk'] state:[2, 2]
frame:435 action['', 'asj'] state:[2, 2]
frame:437 action['', 'w'] state:[1, 0]
frame:439 action['', 'z'] state:[1, 0]
frame:441 action['', 'xsj'] state:[1, 0]
frame:443 action['', 'w'] state:[1, 0]
frame:445 action['', 'z'] state:[1, 0]
frame:447 action['', 'xsj'] state:[1, 0]
frame:449 action['', 'w'] state:[1, 0]
frame:451 action['', 'z'] state:[1, 0]
frame:453 action['', 'xsj'] state:[1, 0]
frame:455 action['', 'e'] state:[1, 1]
frame:457 action['', 'a'] state:[1, 1]
frame:459 action['', 'zsj'] state:[1, 1]
frame:461 action['', 'e'] state:[1, 1]
frame:463 action['', 'a'] state:[1, 1]
frame:465 action['', 'zsj'] state:[1, 1]
frame:467 action['', 'e'] state:[1, 1]
frame:469 action['', 'a'] state:[1, 1]
frame:471 action['', 'zsj'] state:[1, 1]
frame:473 action['', 'e'] state:[1, 1]
frame:475 action['', 'a'] state:[1, 1]
frame:477 action['', 'zsj'] state:[1, 1]
frame:479 action['', 'e'] state:[1, 1]
frame:481 action['', 'a'] state:[1, 1]
frame:483 action['', 'zsj'] state:[1, 1]
